title,genres,release_date,budget,revenue,id
Valentine,"Horror, Thriller",2001-02-02,10000000,16300000,10984
Metro,"Action, Adventure, Comedy, Crime, Thriller",1997-01-16,55000000,31987563,8860
Ophelia,"Drama, Romance, History",2019-06-28,12000000,242115,428836
The Getaway,"Action, Crime, Thriller",1972-09-20,3352254,36734619,5916
Cosmic Sin,"Action, Adventure, Science Fiction",2021-03-12,20000000,349757,681887
The Man,"Action, Comedy, Crime",2005-09-08,33000000,13485145,9074
Southland Tales,"Science Fiction, Thriller, Comedy",2007-11-14,17000000,374743,4723
Sleight,"Drama, Thriller, Action, Science Fiction",2016-04-28,250000,3914430,347882
The Rules of Attraction,"Drama, Romance, Comedy",2002-10-11,4000000,11832822,1809
Mandela: Long Walk to Freedom,"Drama, History",2013-11-28,35000000,27333835,192136
The Four Feathers,"Action, Adventure, Drama, Romance, War",2002-09-08,35000000,29882645,9093
The Last Exorcism Part II,"Horror, Thriller",2013-02-28,5000000,15179302,146203
Rififi,"Crime, Thriller, Drama",1955-04-13,200000,460000,934
Cry_Wolf,"Horror, Thriller",2005-09-16,1000000,10047674,10092
Throw Momma from the Train,"Comedy, Crime",1987-12-11,14000000,57915972,11896
Life Itself,"Drama, Romance",2018-09-21,10000000,7997774,446696
Black Christmas,"Horror, Mystery, Thriller",2019-12-11,5000000,18529730,551808
Frankie and Johnny,"Drama, Romance, Comedy",1991-10-11,29000000,22773535,3784
Death Warrant,"Action, Crime, Thriller",1990-09-14,4000000,16853487,17466
Beerfest,Comedy,2006-08-25,17500000,19179969,9988
The Worst Christmas of My Life,Comedy,2012-12-22,6843500,10703234,147868
Hit & Run,"Action, Comedy, Romance",2012-08-22,2000000,14400000,109513
Little Boy,"Comedy, Drama, War",2015-04-23,20000000,6485961,256962
Toys,"Family, Fantasy, Comedy, Science Fiction",1992-12-18,50000000,23278931,11597
Blue Crush,"Adventure, Romance, Drama",2002-08-08,25000000,51842679,9266
Cutthroat Island,"Action, Adventure",1995-12-22,98000000,10017322,1408
Peggy Sue Got Married,"Comedy, Drama, Fantasy",1986-10-10,18000000,41382841,10013
The Invisible,"Fantasy, Thriller",2007-04-27,30000000,26810113,9785
Moonwalker,"Fantasy, Music",1988-10-29,22000000,67000000,13192
Friday Night Lights,Drama,2004-10-08,30000000,61255921,13416
Weekend,"Drama, Romance",2011-10-23,120000,484592,79120
Firefox,"Science Fiction, Action, Adventure, Thriller",1982-06-18,18000000,70687344,10724
Capitalism: A Love Story,Documentary,2009-09-06,20000000,17436509,22074
Screamers,"Horror, Science Fiction",1995-09-08,20000000,5781885,9102
Double Lover,"Romance, Thriller, Drama",2017-05-26,7110000,4248574,451955
Catfish,Documentary,2010-09-17,30000,3045943,42296
Omen III: The Final Conflict,"Horror, Mystery, Thriller",1981-03-20,5000000,20471382,10768
Young Guns II,"Western, Adventure",1990-08-01,20000000,59000000,9086
Miss Bala,Action,2019-02-01,15000000,15200000,500852
House,"Comedy, Horror",1986-02-27,3000000,19444631,11415
The Commitments,"Comedy, Drama, Music",1991-08-14,12000000,14919570,11663
Jawbreaker,"Comedy, Crime",1999-01-30,3000000,3076820,18892
"New York, I Love You","Comedy, Drama, Romance",2008-09-06,14700000,14603177,12572
Lucky Luke,"Comedy, Western, Adventure",2009-10-21,27000000,17854472,35026
Forces of Nature,"Romance, Comedy",1999-03-12,75000000,93888180,1641
Heist,"Action, Crime, Drama, Thriller",2001-11-09,35000000,28500000,11088
Waitress,"Drama, Comedy, Romance",2007-05-25,1500000,22240529,10758
Murder at 1600,"Action, Drama, Mystery, Thriller, Crime",1997-04-18,40000000,25804707,9415
Hearts in Atlantis,Drama,2001-09-28,31000000,24185781,11313
Surviving Christmas,"Comedy, Romance",2004-09-21,45000000,14793624,15566
Lilya 4-ever,"Crime, Drama",2002-08-23,4600000,1007747,12093
Multiplicity,"Comedy, Fantasy, Science Fiction",1996-07-19,45000000,21075014,9304
Devil's Due,Horror,2014-01-08,7000000,36433975,79316
Black Christmas,"Horror, Thriller, Mystery",2006-12-15,9000000,21510851,9656
The Birth of a Nation,"Drama, History, War",1915-02-08,100000,11000000,618
Krull,"Action, Adventure, Fantasy, Science Fiction",1983-07-29,27000000,16519460,849
The Fly,"Science Fiction, Horror, Drama",1958-07-16,700000,3000000,11815
Blown Away,Action,1994-07-01,28000000,30156002,178
A United Kingdom,"Drama, History",2016-11-25,14000000,13819139,347026
My Soul to Take,"Horror, Mystery",2010-10-08,25000000,21500813,43931
The Rookie,"Action, Crime, Drama, Thriller",1990-12-07,10000000,21633874,6723
Captain Corelli's Mandolin,"Drama, Romance, War",2001-04-18,57000000,62112895,1722
Alpha and Omega,"Animation, Family, Comedy, Adventure, Romance",2010-09-16,20000000,50500000,12819
Bug,"Drama, Horror, Thriller",2006-11-11,4000000,8095658,12526
Shark Night 3D,"Thriller, Horror",2011-09-02,28000000,10126458,65055
Virtuosity,"Action, Crime, Science Fiction, Thriller",1995-08-04,30000000,24048000,9271
Feast,"Action, Horror, Thriller",2005-10-14,3200000,658573,10070
Tora! Tora! Tora!,"Drama, History, War",1970-01-26,25485000,37150000,11165
The Island of Dr. Moreau,"Science Fiction, Horror",1996-08-23,40000000,49627779,9306
Nancy Drew,"Family, Adventure, Crime, Mystery, Comedy",2007-06-15,20000000,30715465,14043
The Great Outdoors,Comedy,1988-06-17,24000000,43455230,2617
Danny Collins,"Music, Comedy, Drama",2015-03-19,10000000,10835752,256924
Get on Up,"Drama, Music",2014-08-01,30000000,33448971,239566
Day Watch,"Fantasy, Action, Adventure, Horror, Thriller",2006-01-01,4200000,42918532,2269
Can't Hardly Wait,"Comedy, Romance",1998-06-12,10000000,25605015,15037
The Wrong Man,"Crime, Drama",1956-12-22,1200000,2000000,22527
Coma,"Science Fiction, Adventure, Action",2019-11-19,4000000,2363584,430155
From Beyond,"Horror, Science Fiction",1986-10-24,4500000,1261000,14510
Twisted,"Action, Adventure, Crime, Drama, Thriller",2004-02-27,50000000,40954603,13572
Saving Silverman,"Comedy, Crime, Romance",2001-02-09,22000000,19351569,10878
My Mom Is a Character 2,Comedy,2016-12-22,2000000,37858128,227932
The Secret Life of Bees,"Family, Adventure, Drama",2008-09-17,11000000,38105395,12837
About Last Night,"Comedy, Romance",2014-02-14,12500000,49002684,222899
Would I Lie to You?,Comedy,1997-04-01,4000000,29456000,39385
Romy and Michele's High School Reunion,Comedy,1997-04-25,20000000,29235353,9611
The Pink Panther Strikes Again,"Comedy, Crime",1976-12-15,6000000,33833201,12268
Bel Ami,"Romance, Drama",2012-03-09,9000000,8303261,86467
Soul Kitchen,"Drama, Comedy",2009-09-09,4000000,18164139,31175
Sleepwalkers,"Horror, Fantasy, Thriller",1992-04-10,15000000,30524763,11428
Antitrust,"Action, Crime, Drama",2001-01-11,30000000,18195610,9989
The 12th Man,"War, Drama",2017-12-25,7806306,9567121,435577
A Madea Family Funeral,Comedy,2019-03-01,20000000,74747725,464504
Fools Rush In,"Comedy, Drama, Romance",1997-02-14,20000000,42000000,1968
In a World...,Comedy,2013-08-09,1000000,2963902,157360
In Hell,Action,2003-11-24,17000000,293671,19277
Shiva Baby,"Comedy, Drama",2021-04-02,250000,31014,664300
Intruders,"Thriller, Horror, Fantasy",2011-09-12,13000000,3012210,63207
Marked for Death,"Action, Crime",1990-10-05,12000000,46044400,10173
The Shadow,"Adventure, Fantasy, Action, Thriller, Science Fiction",1994-07-01,25000000,48063435,8850
The Relic,"Horror, Mystery, Thriller",1997-01-10,60000000,33956608,11015
Spirit Untamed,"Animation, Adventure, Family, Western",2021-05-20,30000000,17635215,637693
Leatherface: The Texas Chainsaw Massacre III,Horror,1990-01-12,2000000,55765562,25018
Drugstore Cowboy,"Drama, Crime",1989-10-20,2500000,4729352,476
Limelight,"Drama, Music, Romance",1952-10-23,900000,1000000,28971
Ken Park,Drama,2002-08-31,1300000,447741,7090
Mandibles,"Comedy, Fantasy",2020-09-16,4900000,2044087,638965
Pet Sematary II,Horror,1992-08-28,8000000,17092453,10906
Curious George,"Adventure, Animation, Comedy, Family",2006-02-10,50000000,69834815,9975
Stand by Me Doraemon,"Animation, Family, Science Fiction, Fantasy",2014-08-08,35000000,83061158,265712
Joe Versus the Volcano,"Comedy, Romance",1990-03-09,25000000,39404261,2565
The Assignment,"Action, Crime, Thriller",2016-06-08,5000000,388789,399173
My Stepmother Is an Alien,"Comedy, Science Fiction",1988-12-09,20000000,13854000,12120
"Tomorrow, When the War Began","Action, Adventure, Drama",2010-08-08,27000000,16504936,43930
Tin Cup,"Comedy, Romance",1996-08-16,45000000,53854588,10478
Our Brand Is Crisis,"Comedy, Drama",2015-09-11,28000000,7002261,10317
Hellraiser: Bloodline,"Horror, Science Fiction",1996-03-08,4000000,16675000,8766
And Now for Something Completely Different,Comedy,1971-09-28,100000,7000,9267
The Toxic Avenger,"Comedy, Horror, Science Fiction",1984-05-01,475000,800000,15239
The Bounty,"Action, Drama, History",1984-05-04,25000000,8613462,2669
Wait Until Dark,Thriller,1967-10-26,4000000,11000000,11206
"Lyle, Lyle, Crocodile","Comedy, Family, Music",2022-10-07,50000000,104088441,830784
Maurice,"Drama, Romance",1987-08-21,2600000,2438304,26371
Vicky and Her Mystery,"Adventure, Family, Drama",2021-12-15,6500000,4181043,754067
Dom Hemingway,"Comedy, Crime, Drama",2013-11-14,7000000,523511,192134
Flawless,"Crime, Drama, Thriller",2007-09-01,20000000,6819587,13195
El Dorado,Western,1966-12-17,4653000,6000000,6644
Howards End,"Drama, Romance",1992-03-13,8000000,26126837,8293
The Goddess of Fortune,Drama,2019-12-19,4000000,8277796,606952
New Jack City,"Thriller, Crime, Drama",1991-03-08,8500000,47624253,10952
Proud Mary,"Thriller, Action, Crime",2018-01-12,14000000,21753365,442064
The Oranges,"Comedy, Romance, Drama",2011-09-09,7000000,1941667,89008
Win a Date with Tad Hamilton!,"Comedy, Romance",2004-01-23,17000000,16980098,13476
Narc,"Crime, Drama, Thriller, Mystery",2002-01-14,6500000,12633747,11022
Jay and Silent Bob Reboot,Comedy,2019-10-15,10000000,1011305,440762
Force of Nature,"Action, Adventure, Crime, Thriller",2020-07-02,15000000,638221,619592
Life or Something Like It,"Comedy, Drama, Romance",2002-04-24,40000000,16872671,16643
Pulse,"Horror, Thriller",2006-08-11,38000000,29907685,9682
Into the Labyrinth,"Thriller, Mystery",2019-10-30,4000000,2514679,602545
Father Stu,Drama,2022-04-13,4000000,21591034,809140
9 Songs,"Drama, Music, Romance",2004-07-16,1000000,1574623,27
Justice League: The New Frontier,"Action, Adventure, Animation, Science Fiction, Family",2008-02-26,3500000,5231128,14011
We Are the Nobles,Comedy,2013-03-28,2000000,26433651,180147
The Quiet Man,"Romance, Comedy, Drama",1952-07-21,1750000,3800000,3109
Italiano medio,Comedy,2015-01-29,1816720,4541800,320316
Beauty Shop,"Comedy, Romance",2005-04-22,25000000,36351350,14177
The Contract,"Drama, Action, Thriller, Crime",2006-04-05,25000000,5549200,1441
The Crow: City of Angels,"Action, Fantasy, Thriller",1996-08-29,13000000,17917287,10546
The Assassin,"Action, Drama, History",2015-08-27,15000000,632542,253450
Boo 2! A Madea Halloween,"Horror, Comedy",2017-10-20,25000000,48333932,459202
JCVD,"Drama, Action, Comedy, Crime",2008-06-04,6000000,276891,13672
Red River,Western,1948-08-26,3000000,9012000,3089
Dylan Dog: Dead of Night,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller",2011-03-16,20000000,4634062,43935
The Gauntlet,"Drama, Action, Crime, Thriller",1977-12-17,5500000,26414658,17689
Me Against You: Mr. S's Vendetta,"Family, Fantasy",2020-01-17,75000,9500000,640344
The Good Lie,Drama,2014-09-10,20000000,3396345,250538
(T)Raumschiff Surprise - Periode 1,"Comedy, Science Fiction",2004-07-14,9000000,76341401,9805
Thunderbolt and Lightfoot,"Crime, Comedy, Action",1974-05-23,4000000,25000000,8348
The Crucible,"Drama, History",1996-11-27,25000000,7343114,20539
Drumline,"Drama, Romance, Comedy, Music",2002-12-13,20000000,57588485,13497
Piggy,"Horror, Thriller, Drama",2022-10-07,2400000,380512,848058
Dead End,"Mystery, Horror, Thriller",2003-09-26,900000,77000000,11427
Diana,"Drama, Romance",2013-09-19,15000000,21766271,118289
Thumbelina,"Animation, Family, Fantasy, Romance, Music",1994-03-29,28000000,11373501,28032
The Prince,"Thriller, Action",2014-08-22,18000000,1289595,241254
Birdy,Drama,1984-12-14,12000000,1400000,11296
Nell,"Drama, Thriller",1994-12-23,31000000,106683817,1945
Miss Potter,"Drama, Family, Romance",2006-12-03,30000000,35078241,13967
Shortbus,"Romance, Drama, Comedy",2006-10-04,2000000,5179037,1378
"Elvira, Mistress of the Dark","Horror, Comedy",1988-09-30,7500000,5596267,5680
Mermaids,"Comedy, Drama, Romance",1990-12-14,31000000,35419397,4587
Shelter,"Drama, Romance",2007-06-16,500000,142666,17483
My Mom Is a Character 3,Comedy,2019-12-26,2000000,39273021,620683
Sid and Nancy,"Drama, Romance",1986-10-24,4000000,2826523,14924
The Transformers: The Movie,"Animation, Science Fiction, Action, Adventure, Family",1986-08-08,6000000,5849647,1857
Demonic,"Thriller, Horror",2015-02-12,3000000,3387000,234212
The Prophecy,"Horror, Fantasy, Thriller",1995-09-01,8000000,16115878,11980
Quest for Fire,"Adventure, Drama",1981-12-16,12000000,55260558,62204
Zulu,"Action, Drama, History, War",1964-01-22,1720000,8000000,14433
Mystic Pizza,"Comedy, Drama, Romance",1988-10-13,6000000,12793213,11191
Yellow Submarine,"Music, Animation, Adventure, Comedy, Fantasy",1968-07-17,250000,1273261,12105
An American Haunting,"Horror, Thriller, Mystery",2005-05-05,14000000,29612137,10008
Tequila Sunrise,"Crime, Romance, Thriller",1988-12-02,23000000,105900000,10396
Oscar,Comedy,1991-04-26,35000000,23562716,11890
Hardball,Drama,2001-09-14,32000000,40222729,20857
Truth,Drama,2015-10-16,9600000,5383097,300693
Annapolis,"Drama, Action",2006-01-27,26000000,17496992,13275
Rules Don't Apply,"Romance, Comedy, Drama",2016-11-23,25000000,3885342,291328
"Hello, My Name Is Doris","Comedy, Drama, Romance",2015-11-27,1000000,14659448,320588
The Woman in Red,"Comedy, Romance",1984-08-15,9000000,25308147,5968
...And Justice for All,Drama,1979-10-19,6000000,33300000,17443
In the Land of Women,"Romance, Comedy, Drama",2007-04-20,10000000,17500000,13067
Win Win,"Drama, Comedy",2011-03-18,10831173,10654385,55725
Chernobyl: Abyss,"Drama, History, Adventure, Action, Fantasy, Mystery",2021-04-15,9100000,6459306,589761
Leviathan,"Adventure, Horror, Action, Thriller, Science Fiction",1989-03-17,25000000,15704614,14372
The Art of War,"Crime, Action, Adventure",2000-08-25,40000000,30199105,11398
Green Card,"Comedy, Romance, Drama",1990-12-23,12500000,29888235,12157
Sleepover,"Family, Comedy",2004-07-09,10000000,10143022,9893
The Postman Always Rings Twice,"Crime, Romance, Drama, Thriller",1981-03-20,12000000,12376625,11027
Around the World in Eighty Days,"Adventure, Comedy, Family, Fantasy, Romance",1956-10-17,6000000,42000000,2897
Big Miracle,"Adventure, Drama, Romance",2012-02-02,40000000,24719215,78698
The Replacement Killers,"Action, Drama, Crime, Thriller, Mystery",1998-02-06,30000000,19204929,11702
The First Day of the Rest of Your Life,Drama,2008-07-23,5900000,13200000,12169
Highlander III: The Sorcerer,"Fantasy, Action",1994-11-29,26000000,36800000,8011
Standing Tall,Drama,2015-05-13,5000000,26144,329819
The Witch: Part 1. The Subversion,"Mystery, Science Fiction, Action, Adventure",2018-06-27,5500000,24340302,530254
Nine to Five,Comedy,1980-12-18,10000000,103300000,19494
The Son of Bigfoot,"Family, Animation, Comedy",2017-07-26,30000000,46372519,413644
The Beach Bum,Comedy,2019-03-21,5000000,4554065,441384
Godsend,"Drama, Horror, Science Fiction, Thriller",2004-04-30,25000000,30120671,11058
Night of the Creeps,"Horror, Comedy, Science Fiction",1986-08-21,5000000,591366,15762
Parental Guidance,Comedy,2012-12-25,25000000,119772232,88042
New in Town,"Comedy, Romance",2009-01-30,8000000,29010817,14536
Find Me Guilty,"Comedy, Crime, Drama",2006-03-16,13000000,2636637,9950
Pink Flamingos,"Comedy, Crime",1972-03-17,12000,6000000,692
The Adventures of Pluto Nash,"Action, Comedy, Science Fiction",2002-08-16,100000000,7103973,11692
The Crush,"Drama, Thriller",1993-04-02,6000000,13609396,33408
All My Life,"Romance, Drama",2020-10-23,25000000,2000000,632322
Goya's Ghosts,"Drama, History",2006-11-08,50000000,9448082,11515
Sorcerer,"Thriller, Adventure, Drama",1977-06-24,22000000,9000000,38985
Werewolves Within,"Horror, Comedy",2021-06-25,6500000,937490,800497
Streets of Fire,Action,1984-06-01,14500000,8089290,14746
Safety Last!,"Comedy, Romance, Thriller",1923-04-01,121000,1500000,22596
Stargate: The Ark of Truth,"Action, Adventure, Science Fiction, TV Movie",2008-03-11,7000000,8900000,13001
Blind Date,"Comedy, Romance",1987-03-27,18000000,39321715,918
Hoosiers,"Drama, Family",1986-11-14,9000000,28607524,5693
Walking with Dinosaurs,"Animation, Family, Adventure",2013-12-18,80000000,126546518,77951
Maximum Risk,"Action, Thriller",1996-09-13,25000000,51702483,10861
Outcast,Action,2014-09-26,25000000,5148503,289720
The Man Who Knew Too Little,"Comedy, Thriller, Crime, Action",1997-11-14,20000000,13801755,9414
Rollerball,"Action, Science Fiction, Thriller",2002-02-08,70000000,25852764,11535
White Girl,Drama,2016-09-02,700000,200242,336011
The Producers,Comedy,2005-12-25,45000000,38058335,9899
Albert Nobbs,Drama,2011-12-21,8000000,5634828,73873
Good Burger,"Family, Comedy",1997-07-25,8500000,23700000,14817
The Bonfire of the Vanities,"Comedy, Drama",1990-12-21,47000000,15691192,9586
Aquarius,Drama,2016-09-01,762241,285930,377273
54,"Drama, Music",1998-08-28,13000000,16757163,3682
The Insult,"Drama, Crime",2017-09-14,3000000,1001305,468284
Bandslam,"Comedy, Drama, Family, Music, Romance",2009-08-06,20000000,12225023,23367
S. Darko,"Thriller, Crime, Science Fiction, Mystery",2009-04-28,4000000,4100000,17532
The Bear,"Adventure, Drama, Family",1988-10-21,25000000,138241022,2383
I Am Not Your Negro,Documentary,2017-02-03,1000000,7123919,411019
Nothing But the Truth,"Drama, Thriller",2008-12-19,11500000,409832,14637
The Thomas Crown Affair,"Crime, Romance",1968-06-26,4300000,14000000,912
The Tailor of Panama,"Drama, Thriller",2001-03-30,21000000,28008462,2575
Evita,"History, Drama, Music",1996-12-14,55000000,141047179,8818
Urban Legends: Final Cut,"Horror, Mystery, Thriller",2000-09-22,14000000,38574362,12212
Bajrangi Bhaijaan,"Comedy, Drama, Action",2015-07-17,13000000,150000000,348892
Man of the House,"Comedy, Action",2005-02-25,40000000,21577624,13498
Infinity Pool,"Horror, Science Fiction, Thriller",2023-01-27,4500000,5078400,667216
Paris Is Burning,Documentary,1991-03-13,500000,3779620,31225
Andhadhun,"Crime, Thriller, Comedy",2018-10-05,4500000,40000000,534780
Cold Creek Manor,"Mystery, Thriller",2003-09-19,45000000,29119434,12767
Fly Away Home,"Action, Adventure, Drama, Family",1996-09-13,22000000,25143818,11076
The Serpent and the Rainbow,"Horror, Thriller",1988-02-05,7000000,19595031,11503
The Great Gatsby,"Drama, Romance",1974-03-27,6500000,26533200,11034
Tank Girl,"Action, Comedy, Science Fiction",1995-03-31,25000000,4064495,9067
Blood Ties,"Thriller, Crime, Drama",2013-08-22,25500000,2415472,190955
Play Misty for Me,"Drama, Thriller",1971-10-01,725000,10600000,15393
Jungle 2 Jungle,"Comedy, Family",1997-03-04,32000000,59927618,9446
Must Love Dogs,"Romance, Comedy",2005-07-21,30000000,58405313,11648
On Deadly Ground,Action,1994-02-18,50000000,49000000,9624
Saboteur,"Thriller, Mystery",1942-04-24,780000,1250000,31997
Smoke,"Comedy, Drama",1995-06-09,7000000,8349430,10149
Tales from the Crypt: Demon Knight,"Horror, Comedy, Thriller",1995-01-13,13000000,21089146,9059
Underdogs,"Animation, Adventure, Romance",2013-07-18,22000000,34061097,153158
Poltergeist III,"Horror, Thriller",1988-06-10,10500000,14144000,10306
Burke & Hare,"Comedy, Thriller, History, Horror",2010-10-29,10000000,4791599,50204
Police Story 3: Super Cop,"Action, Crime, Thriller",1992-07-04,900000,20483423,11134
And So It Goes,"Comedy, Drama, Romance",2014-07-17,18000000,25312387,253235
The Worst Week of My Life,Comedy,2011-10-27,11000000,12935800,77944
Prom,"Comedy, Romance",2011-04-29,8000000,10130000,51588
All That Jazz,Drama,1979-12-16,12000000,37823676,16858
Death Note: The Last Name,"Fantasy, Thriller, Mystery",2006-10-28,17000000,47919757,16140
Staying Alive,"Drama, Music",1983-07-11,22000000,64892670,10805
Dragnet,"Action, Comedy, Crime",1987-06-23,20000000,66673516,10023
War Room,"Drama, Romance",2015-08-28,3000000,67790117,323272
The Black Hole,"Adventure, Family, Science Fiction, Action",1979-12-18,20000000,35841901,9570
Battle Royale II: Requiem,"Action, Thriller",2003-07-05,9080000,14902587,3177
Rugrats in Paris: The Movie,"Family, Animation, Adventure, Comedy",2000-11-17,30000000,103291131,16340
Spice World,"Adventure, Fantasy, Drama, Comedy, Music",1997-12-18,25000000,100000000,6116
Tuck Everlasting,"Drama, Family, Fantasy, Romance",2002-10-11,15000000,19158074,13768
Antwone Fisher,"Drama, Romance",2002-12-19,12500000,23367586,13435
Twice Born,"Drama, Romance, War",2012-09-13,13000000,18295,121642
Missing in Action,"Action, Adventure, Thriller, War",1984-11-16,2550000,22812411,15379
Gigli,"Comedy, Crime, Drama, Romance",2003-08-01,75600000,7266209,8046
The Tax Collector,"Action, Crime, Drama",2020-08-07,30000000,942666,531499
The Mosquito Coast,"Drama, Adventure",1986-11-26,25000000,14302779,11120
My Life Without Me,"Drama, Romance",2003-03-07,2500000,12300000,20
The Scarlet Letter,"Drama, Romance, Western",1995-10-13,50000000,10382407,10533
Daddy Day Camp,"Family, Comedy",2007-08-08,6000000,18197398,14144
Embrace of the Serpent,"Drama, Adventure",2015-05-25,1400000,1320005,336808
Gallipoli,"War, History, Drama",1981-08-13,3000000,11740000,11646
Exit Wounds,"Action, Crime, Thriller",2001-03-16,50000000,79958599,10877
Lost Illusions,"Drama, Romance, History",2021-10-20,20800000,8600000,660000
White Heat,"Crime, Drama, Thriller",1949-09-02,1300000,3483000,15794
Stan Helsing,Comedy,2009-10-27,365000,1400000,23988
Air Bud,"Comedy, Family",1997-08-01,3000000,23144499,20737
Saved!,Comedy,2004-01-21,5000000,10100000,13193
Michael Collins,"War, Drama, Thriller, History",1996-10-25,25000000,16900000,1770
Mutant Chronicles,"Action, Adventure, Horror, Science Fiction",2008-08-07,8000000,2131057,13256
Death Race 2000,"Action, Comedy, Science Fiction",1975-04-30,300000,8000000,13282
Replicant,"Action, Science Fiction, Thriller",2001-05-11,17000000,894844,10596
Sweet Smell of Success,Drama,1957-07-04,3400000,2500000,976
3 Generations,"Comedy, Drama",2016-10-27,10000000,680351,300667
Barbershop,"Comedy, Drama",2002-04-01,12000000,77063924,10611
Transamerica,Drama,2005-12-23,1000000,13350369,546
Super Troopers 2,"Comedy, Crime, Mystery",2018-04-19,13500000,18850674,50022
Diary of a Wimpy Kid: The Long Haul,"Comedy, Family",2017-05-19,22000000,40120144,417830
Pulse,"Horror, Thriller, Mystery",2001-02-03,25000000,318451,27324
Showdown in Little Tokyo,Action,1991-08-23,8000000,2275557,13154
The Secret of Moonacre,"Adventure, Fantasy, Romance",2009-02-06,32000000,7162618,18032
The Personal History of David Copperfield,Comedy,2019-11-07,15600000,11620337,520900
Like Water for Chocolate,"Drama, Romance",1992-04-16,2000000,21744201,18183
Barbershop: The Next Cut,"Comedy, Drama",2016-04-15,20000000,55030051,326423
The Boogeyman,"Horror, Thriller, Mystery",2023-05-31,41900000,66978229,532408
The Matador,"Action, Comedy, Crime, Drama, Thriller",2005-05-12,10000000,17297244,9515
My Bloody Valentine,"Horror, Thriller, Mystery",1981-02-11,2200000,5672031,39874
I Can Only Imagine,"Music, Drama",2018-02-14,7000000,86026201,470878
Salyut-7,"Action, Drama, Adventure",2017-09-22,15000000,13767037,438740
Dragon Hunters,"Animation, Family",2008-03-19,12000000,12235843,10800
Kinsey,Drama,2004-09-04,11000000,17050017,11184
An Affair to Remember,"Drama, Romance",1957-07-11,2100000,3800000,8356
Space Chimps,"Animation, Family, Adventure, Comedy, Science Fiction",2008-06-25,37000000,64762724,11802
Traffik,"Horror, Thriller",2018-04-20,4000000,5132274,473149
The Greatest Game Ever Played,Drama,2005-09-30,25000000,15431177,15487
Blue Thunder,"Drama, Action, Thriller",1983-02-05,22000000,42313354,6341
Big Fish & Begonia,"Animation, Adventure, Fantasy",2016-07-08,4531653,84552250,271706
Riding in Cars with Boys,"Comedy, Drama, Romance",2001-10-19,48000000,35743308,11091
Tidal Wave,"Action, Drama, Thriller",2009-07-22,16000000,71641901,33196
The Promise,"History, Romance, Drama",2016-12-02,90000000,12448676,354859
On Golden Pond,"Drama, Romance",1981-12-01,15000000,119285432,11816
The Human Stain,"Drama, Romance",2003-10-29,30000000,24900000,10922
American Splendor,"Comedy, Drama",2003-08-15,2000000,6003587,2771
Brubaker,"Crime, Drama",1980-06-20,9000000,37121708,1623
Explorers,"Family, Science Fiction, Fantasy",1985-07-12,25000000,9873044,9872
The Entity,"Horror, Mystery, Thriller",1982-09-30,9000000,13277558,24740
Journey to the Center of the Earth,"Adventure, Fantasy, Family",1959-12-15,3440000,10000000,11571
White Snake,"Romance, Animation, Fantasy",2019-01-11,11936735,61631776,573699
Alan Partridge: Alpha Papa,Comedy,2013-07-24,4000000,9800000,177699
Pandora,"Thriller, Drama, Action",2016-12-07,13938145,30169000,429450
3 from Hell,"Drama, Horror, Crime",2019-09-16,3000000,2295825,489064
Street Fighter: The Legend of Chun-Li,"Action, Adventure, Science Fiction, Thriller",2009-02-27,50000000,12764201,15268
Metropolis,"Animation, Science Fiction",2001-05-26,15000000,4035192,9606
The Way We Were,"Drama, Romance",1973-10-17,5000000,50000000,10236
The Accidental Spy,"Action, Comedy, Thriller",2001-01-18,25697387,790144,11847
Nightbreed,"Horror, Fantasy, Action",1990-02-16,11000000,8862354,20481
Austenland,"Comedy, Romance",2013-08-15,4900000,2159041,156711
I.Q.,"Comedy, Drama, Romance",1994-12-24,25000000,26381221,11777
Summer of Sam,"Thriller, Drama, Crime",1999-07-02,22000000,19288130,10279
Minuscule: Valley of the Lost Ants,"Animation, Adventure, Family",2013-11-17,19700000,30000000,140870
Under Suspicion,"Thriller, Crime, Drama",2000-08-24,25000000,1308242,10562
Dying Young,"Drama, Romance",1991-06-20,18000000,82264675,9079
Tin Toy,"Animation, Family",1988-08-01,300000,123967,13927
Open Windows,"Thriller, Action, Crime",2014-07-04,4000000,100000,151368
Coriolanus,"Drama, Thriller",2011-02-14,7700000,1072602,101173
A Few Best Men,Comedy,2011-10-14,12468389,29007412,85435
Red Cliff II,"Action, Adventure, Drama, History, War",2009-01-07,80000000,121059225,15384
Son of Rambow,Comedy,2007-01-22,4913400,10871449,13258
UglyDolls,"Family, Animation, Music",2019-05-01,45000000,32450241,454458
Fido,"Horror, Comedy, Romance, Drama",2006-09-07,8000000,426224,10288
Wind Chill,"Drama, Horror, Thriller",2007-04-27,6000000,285000,14223
Kundun,"Drama, History",1997-12-25,28000000,5684789,9746
Maniac Cop,"Action, Crime, Horror, Mystery",1988-05-13,1100000,671382,14240
Broadway Danny Rose,Comedy,1984-01-27,8000000,10600497,12762
From Dusk Till Dawn 2: Texas Blood Money,"Crime, Action, Horror, Thriller",1999-03-16,5000000,6374,12095
The China Syndrome,"Drama, Thriller",1979-03-16,5900000,51718367,988
Pooh's Heffalump Movie,"Family, Animation, Comedy, Fantasy",2005-02-11,20000000,52900000,13682
